TRAIN DEVICE,TEST DEVICE,BOTNET,CLASSIFIER,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
B120N10_Baby_Mon,838_Security_Cam,mirai,KNN,0.8752,0.7982,0.9158,0.8315,1911,63963
B120N10_Baby_Mon,1002_Security_Cam,mirai,KNN,0.9952,0.9799,0.9887,0.9843,885,1824
B120N10_Baby_Mon,1003_Security_Cam,mirai,KNN,0.9903,0.9093,0.9662,0.9357,1169,4005
737E_Security_Cam,Danmini_Doorbell,mirai,KNN,0.9668,0.8433,0.965,0.8927,1835,21491
737E_Security_Cam,Ecobee_Thermostat,mirai,KNN,0.9966,0.9489,0.9847,0.966,365,1441
737E_Security_Cam,B120N10_Baby_Mon,mirai,KNN,0.9634,0.9428,0.9532,0.9479,11439,17298
737E_Security_Cam,737E_Security_Cam,mirai,KNN,0.9974,0.9937,0.9943,0.994,613,693
737E_Security_Cam,838_Security_Cam,mirai,KNN,0.9886,0.9845,0.9778,0.9811,3895,2122
737E_Security_Cam,1002_Security_Cam,mirai,KNN,0.9909,0.9801,0.9594,0.9695,3648,1450
737E_Security_Cam,1003_Security_Cam,mirai,KNN,0.9943,0.961,0.9572,0.9591,1618,1449
838_Security_Cam,Danmini_Doorbell,mirai,KNN,0.9708,0.8568,0.9715,0.9043,1369,19130
838_Security_Cam,Ecobee_Thermostat,mirai,KNN,0.9952,0.9266,0.9863,0.9544,304,2192
838_Security_Cam,B120N10_Baby_Mon,mirai,KNN,0.9703,0.952,0.9637,0.9577,8440,14909
838_Security_Cam,737E_Security_Cam,mirai,KNN,0.9944,0.9883,0.9861,0.9872,1553,1230
838_Security_Cam,838_Security_Cam,mirai,KNN,0.9957,0.9928,0.9931,0.9929,1102,1163
838_Security_Cam,1002_Security_Cam,mirai,KNN,0.9913,0.9745,0.9681,0.9713,2778,2091
838_Security_Cam,1003_Security_Cam,mirai,KNN,0.9933,0.9472,0.9585,0.9527,1544,2057
1002_Security_Cam,Danmini_Doorbell,mirai,KNN,0.9195,0.7323,0.9461,0.7931,1135,55366
1002_Security_Cam,Ecobee_Thermostat,mirai,KNN,0.9965,0.9445,0.99,0.9661,221,1604
1002_Security_Cam,B120N10_Baby_Mon,mirai,KNN,0.9293,0.8809,0.9456,0.9064,4393,51170
1002_Security_Cam,737E_Security_Cam,mirai,KNN,0.8646,0.7376,0.9124,0.7796,1485,65962
1002_Security_Cam,838_Security_Cam,mirai,KNN,0.8708,0.7935,0.9109,0.8261,2473,65731
1002_Security_Cam,1002_Security_Cam,mirai,KNN,0.9989,0.9967,0.9963,0.9965,322,277
1002_Security_Cam,1003_Security_Cam,mirai,KNN,0.9927,0.9283,0.9767,0.9511,791,3097
1003_Security_Cam,Danmini_Doorbell,mirai,KNN,0.9224,0.7369,0.9469,0.7981,1221,53233
1003_Security_Cam,Ecobee_Thermostat,mirai,KNN,0.9984,0.9776,0.9892,0.9833,269,594
1003_Security_Cam,B120N10_Baby_Mon,mirai,KNN,0.929,0.8813,0.9406,0.9053,6768,49022
1003_Security_Cam,737E_Security_Cam,mirai,KNN,0.8749,0.7474,0.9167,0.7916,1714,60612
1003_Security_Cam,838_Security_Cam,mirai,KNN,0.8773,0.7998,0.9137,0.8331,2800,61942
1003_Security_Cam,1002_Security_Cam,mirai,KNN,0.9942,0.9926,0.9693,0.9806,2821,412
1003_Security_Cam,1003_Security_Cam,mirai,KNN,0.999,0.9897,0.9965,0.9931,121,403
Danmini_Doorbell,Danmini_Doorbell,gafgyt,RFR,1.0,1.0,1.0,1.0,0,0
Danmini_Doorbell,Ecobee_Thermostat,gafgyt,RFR,0.9995,0.9997,0.9939,0.9968,160,0
Danmini_Doorbell,Ennio_Doorbell,gafgyt,RFR,0.9835,0.9909,0.925,0.9549,5863,0
Danmini_Doorbell,B120N10_Baby_Mon,gafgyt,RFR,0.69,0.837,0.5684,0.5229,151278,0
Danmini_Doorbell,737E_Security_Cam,gafgyt,RFR,0.9419,0.9677,0.8166,0.871,22799,0
Danmini_Doorbell,838_Security_Cam,gafgyt,RFR,0.8848,0.9341,0.7617,0.8083,46943,0
Danmini_Doorbell,Samsung_Webcam,gafgyt,RFR,0.9899,0.9942,0.9636,0.9782,3799,0
Danmini_Doorbell,1002_Security_Cam,gafgyt,RFR,0.9741,0.9855,0.9029,0.9389,9049,0
Danmini_Doorbell,1003_Security_Cam,gafgyt,RFR,0.9969,0.9984,0.9732,0.9854,1047,0
Ecobee_Thermostat,Danmini_Doorbell,gafgyt,RFR,0.9941,0.9966,0.9783,0.9872,2152,0
Ecobee_Thermostat,Ecobee_Thermostat,gafgyt,RFR,1.0,1.0,1.0,1.0,0,0
Ecobee_Thermostat,Ennio_Doorbell,gafgyt,RFR,0.9645,0.9808,0.8385,0.8939,12630,0
Ecobee_Thermostat,B120N10_Baby_Mon,gafgyt,RFR,0.7329,0.8529,0.6282,0.6178,130320,0
Ecobee_Thermostat,737E_Security_Cam,gafgyt,RFR,0.9258,0.9595,0.7658,0.8259,29118,0
Ecobee_Thermostat,838_Security_Cam,gafgyt,RFR,0.8523,0.9185,0.6945,0.7357,60185,0
Ecobee_Thermostat,Samsung_Webcam,gafgyt,RFR,0.9925,0.9957,0.973,0.984,2816,0
Ecobee_Thermostat,1002_Security_Cam,gafgyt,RFR,0.9905,0.9946,0.9645,0.9789,3309,0
Ecobee_Thermostat,1003_Security_Cam,gafgyt,RFR,0.9983,0.9991,0.9853,0.9921,576,0
Ennio_Doorbell,Danmini_Doorbell,gafgyt,RFR,0.9996,0.9998,0.9984,0.9991,157,0
Ennio_Doorbell,Ecobee_Thermostat,gafgyt,RFR,0.9997,0.9998,0.9957,0.9977,113,0
Ennio_Doorbell,Ennio_Doorbell,gafgyt,RFR,1.0,1.0,1.0,1.0,0,0
Ennio_Doorbell,B120N10_Baby_Mon,gafgyt,RFR,0.9781,0.9835,0.9696,0.9759,10671,0
Ennio_Doorbell,737E_Security_Cam,gafgyt,RFR,0.965,0.98,0.8894,0.9276,13748,0
Ennio_Doorbell,838_Security_Cam,gafgyt,RFR,0.9167,0.9505,0.8276,0.8698,33969,0
Ennio_Doorbell,Samsung_Webcam,gafgyt,RFR,0.985,0.9914,0.9459,0.967,5647,0
Ennio_Doorbell,1002_Security_Cam,gafgyt,RFR,0.9726,0.9847,0.8973,0.935,9569,0
Ennio_Doorbell,1003_Security_Cam,gafgyt,RFR,0.9969,0.9983,0.973,0.9853,1056,0
B120N10_Baby_Mon,Danmini_Doorbell,gafgyt,RFR,0.9551,0.9753,0.834,0.8878,16453,0
B120N10_Baby_Mon,Ecobee_Thermostat,gafgyt,RFR,0.9976,0.9987,0.9701,0.9839,785,0
B120N10_Baby_Mon,Ennio_Doorbell,gafgyt,RFR,0.9999,0.9999,0.9994,0.9996,50,0
B120N10_Baby_Mon,B120N10_Baby_Mon,gafgyt,RFR,1.0,1.0,1.0,1.0,0,0
B120N10_Baby_Mon,737E_Security_Cam,gafgyt,RFR,0.9995,0.9997,0.9983,0.999,211,1
B120N10_Baby_Mon,838_Security_Cam,gafgyt,RFR,0.9986,0.9991,0.997,0.998,585,0
B120N10_Baby_Mon,Samsung_Webcam,gafgyt,RFR,0.9955,0.9974,0.9839,0.9905,1681,0
B120N10_Baby_Mon,1002_Security_Cam,gafgyt,RFR,0.9447,0.97,0.7926,0.8537,19327,0
B120N10_Baby_Mon,1003_Security_Cam,gafgyt,RFR,0.968,0.9832,0.725,0.8019,10740,6
